价格,网址,商品名称,裸机重量,厚度,屏幕尺寸,待机时长,屏幕色域,系统,处理器,内存,固态硬盘,显卡
4199,//item.jd.com/100023914646.html,宏EX215-54-526V,1.5-2kg,15.1-18.0mm,15.0-15.9英寸,none,none,Windows 10 不带Office,Intel i5,16GB,512GB,none
,,,,,,,,,,,,
10999,//item.jd.com/100016616046.html,none,none,none,none,none,none,none,none,none,none,none
,,,,,,,,,,,,
9949,//item.jd.com/100023181394.html,华为MateBook X Pro,1-1.5kg,15.0mm及以下,13.0-13.9英寸,none,100%sRGB,Windows 10 带Office,Intel i7,16GB,512GB,none
,,,,,,,,,,,,
5299,//item.jd.com/100021927652.html,小米14 -7,none,15.1-18.0mm,14.0-14.9英寸,none,none,Windows 10 带Office,AMD R7,16GB,none,none
,,,,,,,,,,,,
12999,//item.jd.com/100021965324.html,none,none,none,none,none,none,none,none,none,none,none
,,,,,,,,,,,,
2999,//item.jd.com/100022082612.html,京东京造JDBook,none,15.1-18.0mm,14.0-14.9英寸,none,none,Windows 10 不带Office,Intel i3,8GB,256GB,none
,,,,,,,,,,,,
9599,//item.jd.com/100011477309.html,ThinkPadThinkBook 16p,1.5-2kg,15.1-18.0mm,16.0-16.9英寸,none,100%sRGB,Windows 10 带Office,AMD R7,16GB,512GB,none
,,,,,,,,,,,,
8999,//item.jd.com/100025794896.html,戴尔G15 5511-R1860B,none,20.0mm以上,15.0-15.9英寸,none,none,Windows 10 带Office,Intel i7,16GB,512GB,RTX3060
,,,,,,,,,,,,
8099,//item.jd.com/100021764536.html,神舟G8-TA7NP,2-2.5kg,20.0mm以上,17.3英寸,小于5小时,72%NTSC,Windows 10 不带Office,Intel i7,16GB,512GB,RTX3060
,,,,,,,,,,,,
8999,//item.jd.com/100009552065.html,AppleMacBook Air,1-1.5kg,15.1-18.0mm,13.0-13.9英寸,none,DCI-P3,MacOS,Apple M1,16GB,256GB,none
,,,,,,,,,,,,
9999,//item.jd.com/100012544815.html,戴尔G15 5511,none,20.0mm以上,15.0-15.9英寸,none,none,Windows 10 带Office,Intel i7,16GB,512GB,RTX3060
,,,,,,,,,,,,
11999,//item.jd.com/100026116470.html,none,none,none,none,none,none,none,none,none,none,none
,,,,,,,,,,,,
6399,//item.jd.com/10030444969071.html,none,none,none,none,none,none,none,none,none,none,none
,,,,,,,,,,,,
9869,//item.jd.com/100012032127.html,none,none,none,none,none,none,none,none,none,none,none
,,,,,,,,,,,,
9199,//item.jd.com/100011579191.html,联想拯救者R9000X,1.5-2kg,15.1-18.0mm,15.0-15.9英寸,none,100%sRGB,Windows 10 带Office,AMD R7,16GB,512GB,RTX3060
,,,,,,,,,,,,
3998,//item.jd.com/100013847353.html,机械革命S14,1-1.5kg,15.1-18.0mm,14.0-14.9英寸,none,100%sRGB,Windows 10 不带Office,Intel i5,16GB,512GB,none
,,,,,,,,,,,,
4499,//item.jd.com/100016551542.html,戴尔Vostro 14-3405,none,18.1-20.0mm,14.0-14.9英寸,none,none,Windows 10 带Office,AMD R5,8GB,512GB,none
,,,,,,,,,,,,
5999,//item.jd.com/100020137548.html,ThinkPadS2,1-1.5kg,15.1-18.0mm,13.0-13.9英寸,none,100%sRGB,Windows 10 带Office,Intel i5,16GB,512GB,none
,,,,,,,,,,,,
7599,//item.jd.com/10031792658506.html,惠普（HP）光影精灵Victus,2-2.5kg,20.0mm以上,16.0-16.9英寸,小于5小时,100%sRGB,Windows 10 带Office,Intel i5,16GB,512GB,RTX3050
,,,,,,,,,,,,
7299,//item.jd.com/100026699676.html,荣耀HYM-W76,1.5-2kg,18.1-20.0mm,16.0-16.9英寸,none,100%sRGB,Windows 10 带Office,AMD R7,16GB,512GB,RTX3050
,,,,,,,,,,,,
5799,//item.jd.com/100011530887.html,小米红米15寸 7,1.5-2kg,15.1-18.0mm,15.0-15.9英寸,none,none,Windows 10 带Office,AMD R7,16GB,none,none
,,,,,,,,,,,,
7499,//item.jd.com/100021318606.html,惠普战99,2-2.5kg,20.0mm以上,15.0-15.9英寸,none,none,Windows 10 带Office,AMD R7,16GB,512GB,none
,,,,,,,,,,,,
6999,//item.jd.com/100021100372.html,华硕天选,2-2.5kg,20.0mm以上,15.0-15.9英寸,none,none,Windows 10 不带Office,AMD R7,16GB,512GB,RTX3050Ti
,,,,,,,,,,,,
9499,//item.jd.com/100009464823.html,AppleMacBook Air,1-1.5kg,15.1-18.0mm,13.0-13.9英寸,none,DCI-P3,MacOS,Apple M1,8GB,512GB,none
,,,,,,,,,,,,
3989,//item.jd.com/100010728845.html,宏EX214-52-59W3,1-1.5kg,15.1-18.0mm,14.0-14.9英寸,none,none,Windows 10 不带Office,Intel i5,16GB,512GB,none
,,,,,,,,,,,,
5589,//item.jd.com/10031480529515.html,华硕（ASUS）V5200EP,1.5-2kg,15.1-18.0mm,15.0-15.9英寸,none,none,Windows 10 不带Office,Intel i7,12GB,256GB,MX330
,,,,,,,,,,,,
8999,//item.jd.com/100020732998.html,ThinkPadX1 Nano,小于1kg,15.0mm及以下,13.0-13.9英寸,none,100%sRGB,Windows 10 带Office,Intel i5,16GB,512GB,none
,,,,,,,,,,,,
10499,//item.jd.com/100022426372.html,华硕天选2PLUS,none,20.0mm以上,17.3英寸,小于5小时,none,Windows 10 不带Office,Intel i9,16GB,512GB,RTX3060
,,,,,,,,,,,,
12999,//item.jd.com/100012352015.html,惠普战99,1.5-2kg,20.0mm以上,15.0-15.9英寸,none,none,Windows 10 不带Office,Intel i7,32GB,none,none
,,,,,,,,,,,,
10899,//item.jd.com/100016724446.html,AppleMacBook Pro 13.3,1-1.5kg,15.1-18.0mm,13.0-13.9英寸,none,DCI-P3,MacOS,Apple M1,16GB,256GB,none
,,,,,,,,,,,,
4699,//item.jd.com/100022243346.html,真我新品,1-1.5kg,15.0mm及以下,14.0-14.9英寸,none,none,Windows 10 带Office,Intel i5,16GB,512GB,none
,,,,,,,,,,,,
7999,//item.jd.com/100021548434.html,机械师T58-V,none,20.0mm以上,15.0-15.9英寸,小于5小时,none,其他,Intel i7,16GB,512GB,RTX3060
,,,,,,,,,,,,
17499,//item.jd.com/100011157085.html,ThinkPadX1 Carbon,none,15.0mm及以下,14.0-14.9英寸,none,none,Windows 10专业版,Intel i7,16GB,none,none
,,,,,,,,,,,,
5199,//item.jd.com/10027856973667.html,ThinkPadE15 2021,none,none,15.0-15.9英寸,none,none,Windows 10 带Office,Intel i5,8GB,none,none
,,,,,,,,,,,,
9999,//item.jd.com/100022426396.html,华硕天选,2-2.5kg,20.0mm以上,15.0-15.9英寸,none,100%sRGB,Windows 10 不带Office,Intel i9,16GB,512GB,RTX3060
,,,,,,,,,,,,
6799,//item.jd.com/100011431723.html,none,none,none,none,none,none,none,none,none,none,none
,,,,,,,,,,,,
1999,//item.jd.com/100016948626.html,攀升G154GPJ41,1.5-2kg,15.1-18.0mm,15.0-15.9英寸,none,none,Windows 10 不带Office,其他,8GB,256GB,intel 集成显卡
,,,,,,,,,,,,
6999,//item.jd.com/100013460045.html,戴尔Ins 15-5518-R2808S,none,18.1-20.0mm,15.0-15.9英寸,none,100%sRGB,Windows 10 带Office,Intel i7,16GB,512GB,none
,,,,,,,,,,,,
4499,//item.jd.com/100010198657.html,华硕Redolbook14,1-1.5kg,15.1-18.0mm,14.0-14.9英寸,none,none,其他,Intel i5,16GB,512GB,none
,,,,,,,,,,,,
5489,//item.jd.com/10032515906251.html,华硕（ASUS）U4700E,1-1.5kg,15.0mm及以下,14.0-14.9英寸,none,100%sRGB,Windows 10 带Office,Intel i5,16GB,512GB,none
,,,,,,,,,,,,
4999,//item.jd.com/100011483893.html,none,none,none,none,none,none,none,none,none,none,none
,,,,,,,,,,,,
6299,//item.jd.com/100019572430.html,联想YOGA,1-1.5kg,15.0mm及以下,14.0-14.9英寸,none,none,Windows 10 带Office,AMD R7,16GB,512GB,none
,,,,,,,,,,,,
4299,//item.jd.com/100025776786.html,联想威6-14 ITL,1-1.5kg,15.1-18.0mm,14.0-14.9英寸,none,none,Windows 10 带Office,Intel i3,8GB,512GB,MX450
,,,,,,,,,,,,
4999,//item.jd.com/10025018584451.html,ThinkPadThinkBook 14,1-1.5kg,15.1-18.0mm,14.0-14.9英寸,none,100%sRGB,Windows 10 带Office,AMD R5,16GB,512GB,none
,,,,,,,,,,,,
11499,//item.jd.com/100012142851.html,none,none,none,none,none,none,none,none,none,none,none
,,,,,,,,,,,,
5099,//item.jd.com/100017690766.html,none,none,none,none,none,none,none,none,none,none,none
,,,,,,,,,,,,
4199,//item.jd.com/100023048578.html,戴尔Latitude,1.5-2kg,15.1-18.0mm,15.0-15.9英寸,none,none,Windows 10 不带Office,Intel i5,8GB,512GB,MX230
,,,,,,,,,,,,
23969,//item.jd.com/100022573988.html,外星人ALWX17-R1776W,none,20.0mm以上,15.0-15.9英寸,none,none,Windows 10 带Office,Intel i7,32GB,none,RTX3070
,,,,,,,,,,,,
8999,//item.jd.com/100015921260.html,none,none,none,none,none,none,none,none,none,none,none
,,,,,,,,,,,,
5099,//item.jd.com/100018083778.html,none,none,none,none,none,none,none,none,none,none,none
,,,,,,,,,,,,
8299,//item.jd.com/100026462784.html,华硕灵耀Pro14,1-1.5kg,其他,14.0-14.9英寸,none,DCI-P3,Windows 10 带Office,AMD R9,16GB,512GB,RTX3050
,,,,,,,,,,,,
4499,//item.jd.com/10021123967555.html,联想（Lenovo）联想威6 2021酷睿版,1.5-2kg,15.1-18.0mm,15.0-15.9英寸,none,none,Windows 10 带Office,Intel i3,8GB,512GB,集成显卡
,,,,,,,,,,,,
8999,//item.jd.com/100025028034.html,none,none,none,none,none,none,none,none,none,none,none
,,,,,,,,,,,,
6299,//item.jd.com/100021965484.html,小米5,1.5-2kg,15.1-18.0mm,15.0-15.9英寸,none,none,Windows 10 带Office,AMD R5,16GB,none,none
,,,,,,,,,,,,
7999,//item.jd.com/10023791299233.html,ThinkPadThinkBook 15p,1.5-2kg,18.1-20.0mm,15.0-15.9英寸,none,100%sRGB,Windows 10 带Office,Intel i7,16GB,512GB,1650 MQ
,,,,,,,,,,,,
5999,//item.jd.com/100015637194.html,华硕灵耀14s,1-1.5kg,15.0mm及以下,14.0-14.9英寸,none,100%sRGB,Windows 10 带Office,Intel i5,16GB,512GB,none
,,,,,,,,,,,,
5599,//item.jd.com/100018083802.html,惠普惠普战66 四代高性能轻薄商务本 锐龙版15寸,none,18.1-20.0mm,15.0-15.9英寸,none,100%sRGB,Windows 10 带Office,AMD R7,16GB,none,none
,,,,,,,,,,,,
7266,//item.jd.com/10031074340414.html,联想（Lenovo）Lenovo Legion Y7000P2021,2-2.5kg,20.0mm以上,15.0-15.9英寸,none,100%sRGB,Windows 10 带Office,Intel i5,16GB,512GB,RTX3050Ti
,,,,,,,,,,,,
16999,//item.jd.com/100012142847.html,外星人ALWA15M-R1765B,none,20.0mm以上,15.0-15.9英寸,none,none,Windows 10 带Office,Intel i7,32GB,none,RTX3060
,,,,,,,,,,,,
6299,//item.jd.com/100021647704.html,雷神911Air星战,2-2.5kg,20.0mm以上,15.0-15.9英寸,5-7小时,none,Windows 10 不带Office,Intel i7,8GB,512GB,RTX3050
,,,,,,,,,,,,
7499,//item.jd.com/100013477937.html,戴尔Ins 15-7510-R1645S,none,15.1-18.0mm,15.0-15.9英寸,none,none,Windows 10 带Office,Intel i5,16GB,512GB,RTX3050
,,,,,,,,,,,,
8599,//item.jd.com/10032963505341.html,微星（MSI）武士系列,none,20.0mm以上,17.3英寸,none,none,Windows 10 不带Office,Intel i7,16GB,512GB,RTX3060
,,,,,,,,,,,,
4899,//item.jd.com/10032934620222.html,ThinkPadThinkBook 14,1-1.5kg,15.1-18.0mm,14.0-14.9英寸,none,100%sRGB,Windows 10 带Office,AMD R7,16GB,512GB,none
,,,,,,,,,,,,
4999,//item.jd.com/100025382142.html,机械革命F6,1.5-2kg,15.1-18.0mm,16.0-16.9英寸,none,100%sRGB,Windows 10 不带Office,Intel i5,16GB,512GB,none
,,,,,,,,,,,,
7199,//item.jd.com/100021318642.html,惠普战99,2-2.5kg,20.0mm以上,15.0-15.9英寸,none,none,Windows 10 带Office,AMD R7,16GB,none,NVIDIA专业卡
,,,,,,,,,,,,
9099,//item.jd.com/100021965284.html,联想拯救者R9000P,none,20.0mm以上,16.0-16.9英寸,none,100%sRGB,Windows 10 带Office,AMD R7,16GB,512GB,RTX3060
,,,,,,,,,,,,
6499,//item.jd.com/100024305342.html,戴尔Ins 15-3511,none,18.1-20.0mm,15.0-15.9英寸,none,none,Windows 10 带Office,Intel i7,16GB,512GB,MX350
,,,,,,,,,,,,
10999,//item.jd.com/100026792400.html,机械革命Umi Pro,1.5-2kg,18.1-20.0mm,15.0-15.9英寸,小于5小时,100%sRGB,Windows 10 不带Office,AMD R9,32GB,none,RTX3070
,,,,,,,,,,,,
5099,//item.jd.com/10035346944877.html,宏（acer）非凡S3X,none,15.1-18.0mm,14.0-14.9英寸,none,72%NTSC,Windows 10 不带Office,Intel i5,16GB,512GB,none
,,,,,,,,,,,,
6999,//item.jd.com/100022078428.html,ThinkPadThinkBook 13x,1-1.5kg,15.0mm及以下,13.0-13.9英寸,none,none,Windows 10 带Office,Intel i5,16GB,512GB,none
,,,,,,,,,,,,
8699,//item.jd.com/100012544831.html,雷神911,2-2.5kg,20.0mm以上,16.0-16.9英寸,5-7小时,100%sRGB,Windows 10 不带Office,AMD R7,16GB,512GB,RTX3060
,,,,,,,,,,,,
7866,//item.jd.com/10031075001519.html,联想（Lenovo）Lenovo Legion Y70002021,2-2.5kg,20.0mm以上,15.0-15.9英寸,none,100%sRGB,Windows 10 带Office,Intel i7,16GB,512GB,RTX3050
,,,,,,,,,,,,
9949,//item.jd.com/100023181400.html,华为MateBook X Pro,1-1.5kg,15.0mm及以下,13.0-13.9英寸,none,100%sRGB,Windows 10 带Office,Intel i7,16GB,512GB,none
,,,,,,,,,,,,
8699,//item.jd.com/100021647702.html,雷神新911,2-2.5kg,20.0mm以上,17.3英寸,小于5小时,none,Windows 10 不带Office,Intel i7,16GB,512GB,RTX3060
,,,,,,,,,,,,
6859,//item.jd.com/100019979490.html,小米小米pro14,1.5-2kg,15.1-18.0mm,14.0-14.9英寸,none,100%sRGB,Windows 10 带Office,Intel i7,16GB,512GB,MX450
,,,,,,,,,,,,
13099,//item.jd.com/100007136959.html,AppleMacBook Pro,none,15.1-18.0mm,13.0-13.9英寸,none,none,MacOS,Intel i5,16GB,none,none
,,,,,,,,,,,,
15999,//item.jd.com/100011796853.html,雷蛇雷蛇灵刃锐龙版,1.5-2kg,15.1-18.0mm,14.0-14.9英寸,none,DCI-P3,Windows 10 不带Office,AMD R9,16GB,none,RTX3070
,,,,,,,,,,,,
9299,//item.jd.com/100012292831.html,惠普战99,1.5-2kg,20.0mm以上,15.0-15.9英寸,none,none,Windows 10 不带Office,Intel i7,16GB,none,none
,,,,,,,,,,,,
6599,//item.jd.com/100015758978.html,惠普ProBook 450 G8,1.5-2kg,18.1-20.0mm,15.0-15.9英寸,none,100%sRGB,Windows 10 带Office,Intel i7,16GB,none,none
,,,,,,,,,,,,
10499,//item.jd.com/100020733040.html,ThinkPadX13,none,15.1-18.0mm,13.0-13.9英寸,none,none,Windows 10 带Office,Intel i7,16GB,none,none
,,,,,,,,,,,,
5899,//item.jd.com/100012844403.html,华为MateBook 14,1-1.5kg,15.1-18.0mm,14.0-14.9英寸,none,100%sRGB,Windows 10 带Office,Intel i5,8GB,512GB,none
,,,,,,,,,,,,
8799,//item.jd.com/100012292817.html,惠普战99,1.5-2kg,20.0mm以上,15.0-15.9英寸,none,none,Windows 10 不带Office,Intel i7,16GB,512GB,none
,,,,,,,,,,,,
10999,//item.jd.com/100007278665.html,ThinkPadT,1-1.5kg,15.1-18.0mm,14.0-14.9英寸,none,none,Windows 10 带Office,Intel i7,16GB,none,MX330
,,,,,,,,,,,,
4199,//item.jd.com/100020483262.html,戴尔Ins 14MF Pro-R7305TS,none,15.1-18.0mm,14.0-14.9英寸,none,none,Windows 10 带Office,Intel i3,8GB,256GB,none
,,,,,,,,,,,,
4999,//item.jd.com/100021731804.html,ThinkPadE15,none,18.1-20.0mm,15.0-15.9英寸,none,none,Windows 10 带Office,AMD R5,16GB,512GB,none
,,,,,,,,,,,,
10999,//item.jd.com/100016616028.html,AppleMacBook Pro 13.3,1-1.5kg,15.1-18.0mm,13.0-13.9英寸,none,DCI-P3,MacOS,Apple M1,8GB,512GB,none
,,,,,,,,,,,,
10899,//item.jd.com/10028197776345.html,联想（Lenovo）拯救者R9000K,2-2.5kg,20.0mm以上,16.0-16.9英寸,none,none,Windows 10 带Office,AMD R7,16GB,none,RTX3060
,,,,,,,,,,,,
9499,//item.jd.com/100012701655.html,ROG幻13,1-1.5kg,15.1-18.0mm,13.0-13.9英寸,none,none,Windows 10 不带Office,AMD R9,16GB,512GB,RTX3050
,,,,,,,,,,,,
15999,//item.jd.com/100023662340.html,惠普战99,1.5-2kg,20.0mm以上,15.0-15.9英寸,none,none,Windows 10 不带Office,Intel i9,32GB,none,none
,,,,,,,,,,,,
5199,//item.jd.com/10021123967556.html,联想（Lenovo）联想威6 2021酷睿版,1.5-2kg,15.1-18.0mm,15.0-15.9英寸,none,none,Windows 10 带Office,Intel i3,16GB,512GB,集成显卡
,,,,,,,,,,,,
9499,//item.jd.com/100013333248.html,ThinkPadT,1-1.5kg,15.1-18.0mm,14.0-14.9英寸,none,none,Windows 10 带Office,Intel i7,16GB,512GB,MX330
,,,,,,,,,,,,
5299,//item.jd.com/10029911227245.html,华硕（ASUS）adolbook13 2021,1-1.5kg,15.0mm及以下,13.0-13.9英寸,none,100%sRGB,Windows 10 带Office,Intel i5,16GB,512GB,none
,,,,,,,,,,,,
4799,//item.jd.com/100013479214.html,ThinkPadE15,none,18.1-20.0mm,15.0-15.9英寸,none,none,Windows 10 带Office,AMD R7,16GB,512GB,none
,,,,,,,,,,,,
6699,//item.jd.com/100021567676.html,机械师T58-V,none,20.0mm以上,15.0-15.9英寸,小于5小时,none,其他,Intel i7,16GB,512GB,RTX3050
,,,,,,,,,,,,
6599,//item.jd.com/100011431719.html,雷神911Air星战,2-2.5kg,20.0mm以上,15.0-15.9英寸,5-7小时,none,Windows 10 不带Office,Intel i7,8GB,512GB,RTX3050Ti
,,,,,,,,,,,,
10099,//item.jd.com/100017970852.html,华硕灵耀X,1.5-2kg,15.1-18.0mm,14.0-14.9英寸,none,none,Windows 10 带Office,Intel i7,16GB,512GB,MX450
,,,,,,,,,,,,
2799,//item.jd.com/100024169908.html,宏EX215-32-C7SA,1.5-2kg,15.1-18.0mm,15.0-15.9英寸,none,none,Windows 10 不带Office,none,8GB,256GB,none
,,,,,,,,,,,,
3199,//item.jd.com/100019498800.html,京东京造JDBook,none,15.1-18.0mm,14.0-14.9英寸,none,none,Windows 10 不带Office,Intel i3,8GB,512GB,none
,,,,,,,,,,,,
4999,//item.jd.com/100017751544.html,机械革命F1,1-1.5kg,15.0mm及以下,14.0-14.9英寸,none,none,Windows 10 不带Office,Intel i5,16GB,512GB,none
,,,,,,,,,,,,
8199,//item.jd.com/100012301237.html,机械革命蛟龙,2-2.5kg,20.0mm以上,15.0-15.9英寸,小于5小时,100%sRGB,Windows 10 不带Office,AMD R7,16GB,512GB,RTX3060
